Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,MACD,MACD_Signal,MACD_Histogram,ATR,Price_Change_1d,Price_Change_5d,Price_Change_10d,Volume_Change,Volume_MA20,Volume_Ratio
2021-07-23,33581.55078125,33581.55078125,32057.892578125,32305.958984375,22552046192,32827.7029296875,34500.3469921875,47.215181126518324,-1006.5742258319042,-1034.5276434881496,27.953417656245392,1775.488560267857,0.5198873565239959,2.448395510062995,-2.4739567364612802,15.32488032417476,23238271129.55,0.9704700520221838
2021-07-24,34292.4453125,34490.390625,33424.859375,33593.73046875,21664706865,32774.1111328125,34387.3719140625,48.945729183627876,-807.8834071744132,-989.1987962254024,181.3153890509892,1835.276646205357,3.986173216519706,5.640622921350635,2.658259586959022,-3.9346288999477563,23075291077.25,0.9388703610486328
2021-07-25,35350.1875,35364.92578125,33881.8359375,34290.29296875,20856685287,32724.40859375,34335.5746484375,53.64708023499926,-587.4410745262394,-908.8472518855698,321.4061773593304,1873.364536830357,2.0734895776102213,11.19390327642904,4.454805462583256,-3.729667717338858,22782047627.5,0.9154877396456711
2021-07-26,37337.53515625,40499.67578125,35287.3125,35384.03125,51022126212,32807.434765625,34332.4830859375,55.109058740293925,-320.7855826420491,-791.2349180368657,470.44933539481656,2181.5456194196427,3.189644026216887,18.75316357206338,11.125339004644207,144.63199933213815,24008090944.6,2.1252054705114367
2021-07-27,39406.94140625,39406.94140625,36441.7265625,37276.03515625,35097370560,32959.9525390625,34361.2984765625,67.55382559720128,42.71730047396704,-624.4444743346992,667.1617748086662,2326.5680803571427,5.347055831152647,15.98426336194918,18.723663988416604,-31.21147007051741,24523158098.75,1.4311929327646014
2021-07-28,39995.90625,40816.0703125,38862.4375,39503.1875,38702404695,33240.631640625,34479.5718359375,74.83652437505178,504.69077420618123,-398.6174246265231,903.3081988327043,2473.260323660714,5.974756527657621,22.27833112493578,25.272188293978658,10.271521990050747,24962758486.2,1.5504057661093664
2021-07-29,40008.421875,40593.0703125,39352.05859375,39995.453125,27167146027,33597.320703125,34611.1413671875,75.53253899386017,900.1533943757968,-138.8632608260591,1039.0166552018559,2420.1946149553573,1.2461415297183365,19.05630177691964,25.77181882426094,-29.805017954065917,24949314736.15,1.08889347520381
2021-07-30,42235.546875,42235.546875,38397.35546875,40027.484375,33072782960,33908.1328125,34663.9007421875,81.28731943269536,1202.2858216383029,129.3665556668133,1072.9192659714895,2570.9796316964284,0.0800872286654375,16.731240562682025,29.79802272464436,21.738157284282632,25454360210.75,1.2992973575518332
2021-07-31,41626.1953125,42231.44921875,41110.83203125,42196.3046875,25802845343,34342.494140625,34773.8862109375,86.46720403455947,1598.3093058566446,423.1551057047796,1175.154200151865,2677.5517578125,5.418327797423572,19.25239492744344,41.6159916117899,-21.981632527848205,25739066009.4,1.0024779195009137
2021-08-01,39974.89453125,42541.6796875,39540.94140625,41460.84375,26688438115,34702.835546875,34856.3001953125,82.21922677704848,1831.7005157900276,704.8641877218292,1126.8363280681983,2807.3542131696427,-1.7429510544743732,11.226538917587492,29.005281826555574,3.432151610520928,25857412938.3,1.0321387595380467
